p	T	rho	z
0.85632	158.00	0.15312	3.8230
0.87323	159.00	0.15516	3.3510
0.89037	160.00	0.15722	2.8800
0.90773	161.00	0.15929	2.4080
0.92534	162.00	0.16138	1.9360
0.94318	163.00	0.16348	1.4640
0.96126	164.00	0.16560	0.99200
0.97958	165.00	0.16773	0.52000
0.99814	166.00	0.16988	0.047000
1.0000	166.10	0.17399	0.0000
1.0170	167.00	0.17205	-0.42700
1.0360	168.00	0.17422	-0.89900
1.0553	169.00	0.17642	-1.3720
1.0749	170.00	0.17864	-1.8460
1.0947	171.00	0.18086	-2.3190
1.1148	172.00	0.18311	-2.7940
1.1351	173.00	0.18537	-3.2670
1.1557	174.00	0.18765	-3.7420
1.1766	175.00	0.18995	-4.2180
1.1977	176.00	0.19226	-4.6920
1.2191	177.00	0.19459	-5.1670
1.2408	178.00	0.19694	-5.6440
1.2627	179.00	0.19930	-6.1190
1.2850	180.00	0.20169	-6.5960
1.3075	181.00	0.20409	-7.0730
1.3302	182.00	0.20649	-7.5480
1.3533	183.00	0.20893	-8.0260
1.3767	184.00	0.21139	-8.5040
1.4003	185.00	0.21385	-8.9810
1.4242	186.00	0.21633	-9.4580
1.4485	187.00	0.21884	-9.9380
1.4730	188.00	0.22136	-10.416
1.4978	189.00	0.22390	-10.895
1.5229	190.00	0.22645	-11.374
1.5483	191.00	0.22902	-11.853
1.5741	192.00	0.23163	-12.334
1.6001	193.00	0.23423	-12.813
1.6265	194.00	0.23687	-13.295
1.6531	195.00	0.23951	-13.774
1.6801	196.00	0.24218	-14.256
1.7074	197.00	0.24486	-14.737
1.7350	198.00	0.24757	-15.219
1.7629	199.00	0.25028	-15.700
1.7912	200.00	0.25303	-16.183
1.8198	201.00	0.25579	-16.666
1.8487	202.00	0.25857	-17.149
1.8780	203.00	0.26137	-17.633
1.9075	204.00	0.26417	-18.115
1.9375	205.00	0.26702	-18.600
1.9677	206.00	0.26987	-19.083
1.9983	207.00	0.27274	-19.568
2.0293	208.00	0.27564	-20.053
2.0606	209.00	0.27855	-20.538
2.0923	210.00	0.28149	-21.024
2.1243	211.00	0.28444	-21.510
2.1567	212.00	0.28741	-21.997
2.1894	213.00	0.29040	-22.483
2.2225	214.00	0.29342	-22.970
2.2559	215.00	0.29644	-23.456
2.2897	216.00	0.29949	-23.943
2.3239	217.00	0.30256	-24.431
2.3585	218.00	0.30566	-24.919
2.3934	219.00	0.30876	-25.407
2.4287	220.00	0.31189	-25.896
2.4644	221.00	0.31505	-26.385
2.5005	222.00	0.31822	-26.874
2.5369	223.00	0.32141	-27.363
2.5737	224.00	0.32461	-27.852
2.6110	225.00	0.32785	-28.343
2.6486	226.00	0.33110	-28.833
2.6866	227.00	0.33437	-29.323
2.7250	228.00	0.33767	-29.814
2.7639	229.00	0.34099	-30.306
2.8031	230.00	0.34432	-30.797
2.8427	231.00	0.34768	-31.288
2.8828	232.00	0.35106	-31.781
2.9232	233.00	0.35445	-32.273
2.9641	234.00	0.35788	-32.766
3.0053	235.00	0.36131	-33.257
3.0470	236.00	0.36477	-33.750
3.0891	237.00	0.36825	-34.243
3.1317	238.00	0.37176	-34.738
3.1746	239.00	0.37527	-35.231
3.2180	240.00	0.37882	-35.725
3.2619	241.00	0.38239	-36.220
3.3061	242.00	0.38597	-36.714
3.3508	243.00	0.38958	-37.208
3.3959	244.00	0.39321	-37.703
3.4415	245.00	0.39686	-38.198
3.4875	246.00	0.40053	-38.694
3.5340	247.00	0.40423	-39.190
3.5809	248.00	0.40794	-39.685
3.6283	249.00	0.41168	-40.182
3.6761	250.00	0.41543	-40.678
3.7244	251.00	0.41922	-41.174
3.7731	252.00	0.42301	-41.671
3.8224	253.00	0.42685	-42.169
3.8720	254.00	0.43068	-42.665
3.9222	255.00	0.43456	-43.163
3.9728	256.00	0.43844	-43.660
4.0239	257.00	0.44235	-44.158
4.0754	258.00	0.44628	-44.656
4.1275	259.00	0.45024	-45.154
4.1800	260.00	0.45421	-45.653
4.2330	261.00	0.45821	-46.151
4.2865	262.00	0.46223	-46.650
4.3405	263.00	0.46627	-47.149
4.3950	264.00	0.47034	-47.648
4.4499	265.00	0.47442	-48.147
4.5054	266.00	0.47853	-48.647
4.5614	267.00	0.48266	-49.147
4.6179	268.00	0.48682	-49.647
4.6749	269.00	0.49099	-50.147
4.7324	270.00	0.49519	-50.647
4.7904	271.00	0.49941	-51.148
4.8489	272.00	0.50365	-51.648
4.9080	273.00	0.50792	-52.149
4.9675	274.00	0.51220	-52.650
5.0276	275.00	0.51652	-53.151
5.0882	276.00	0.52085	-53.652
5.1494	277.00	0.52521	-54.154
5.2110	278.00	0.52958	-54.655
5.2732	279.00	0.53398	-55.157
5.3360	280.00	0.53841	-55.659
5.3993	281.00	0.54286	-56.161
5.4631	282.00	0.54733	-56.663
5.5275	283.00	0.55182	-57.166
5.5924	284.00	0.55633	-57.669
5.6578	285.00	0.56086	-58.171
5.7238	286.00	0.56542	-58.673
5.7904	287.00	0.57001	-59.177
5.8575	288.00	0.57461	-59.679
5.9252	289.00	0.57924	-60.183
5.9934	290.00	0.58389	-60.686
6.0622	291.00	0.58856	-61.189
6.1316	292.00	0.59326	-61.693
6.2016	293.00	0.59799	-62.197
6.2721	294.00	0.60273	-62.700
6.3432	295.00	0.60749	-63.204
6.4149	296.00	0.61228	-63.708
6.4871	297.00	0.61709	-64.212
6.5600	298.00	0.62193	-64.717
6.6334	299.00	0.62679	-65.221
6.7074	300.00	0.63167	-65.725
6.7820	301.00	0.63657	-66.230
6.8573	302.00	0.64151	-66.735
6.9331	303.00	0.64646	-67.240
7.0095	304.00	0.65143	-67.744
7.0865	305.00	0.65643	-68.249
7.1641	306.00	0.66145	-68.754
7.2423	307.00	0.66649	-69.259
7.3212	308.00	0.67156	-69.765
7.4006	309.00	0.67665	-70.270
7.4807	310.00	0.68177	-70.775
7.5614	311.00	0.68691	-71.281
7.6427	312.00	0.69207	-71.787
7.7246	313.00	0.69725	-72.292
7.8072	314.00	0.70246	-72.798
7.8904	315.00	0.70769	-73.304
7.9742	316.00	0.71294	-73.810
8.0587	317.00	0.71823	-74.316
8.1438	318.00	0.72353	-74.822
8.2296	319.00	0.72886	-75.328
8.3160	320.00	0.73421	-75.835
8.4030	321.00	0.73958	-76.341
8.4907	322.00	0.74498	-76.847
8.5790	323.00	0.75039	-77.354
8.6680	324.00	0.75584	-77.860
8.7577	325.00	0.76131	-78.367
8.8480	326.00	0.76680	-78.874
8.9390	327.00	0.77232	-79.380
9.0306	328.00	0.77785	-79.887
9.1230	329.00	0.78342	-80.394
9.2160	330.00	0.78901	-80.901
9.3097	331.00	0.79463	-81.409
9.4040	332.00	0.80026	-81.915
9.4990	333.00	0.80591	-82.422
9.5947	334.00	0.81160	-82.929
9.6911	335.00	0.81730	-83.437
9.7882	336.00	0.82304	-83.944
9.8860	337.00	0.82879	-84.452
9.9845	338.00	0.83457	-84.959
10.084	339.00	0.84040	-85.468
10.184	340.00	0.84624	-85.976
10.284	341.00	0.85205	-86.481
10.385	342.00	0.85790	-86.987
10.487	343.00	0.86380	-87.495
10.590	344.00	0.86975	-88.004
10.694	345.00	0.87574	-88.515
10.798	346.00	0.88170	-89.022
10.903	347.00	0.88771	-89.531
11.008	348.00	0.89368	-90.036
11.114	349.00	0.89971	-90.542
11.221	350.00	0.90577	-91.050
11.329	351.00	0.91188	-91.559
11.438	352.00	0.91804	-92.070
11.547	353.00	0.92417	-92.577
11.657	354.00	0.93033	-93.085
11.768	355.00	0.93655	-93.594
11.879	356.00	0.94273	-94.100
11.991	357.00	0.94895	-94.608
12.104	358.00	0.95521	-95.116
12.218	359.00	0.96153	-95.626
12.332	360.00	0.96780	-96.132
12.448	361.00	0.97420	-96.644
12.564	362.00	0.98056	-97.152
12.680	363.00	0.98689	-97.657
12.798	364.00	0.99334	-98.168
12.916	365.00	0.99975	-98.675
13.035	366.00	1.0062	-99.183
13.155	367.00	1.0127	-99.693
13.276	368.00	1.0192	-100.20
13.397	369.00	1.0257	-100.71
13.519	370.00	1.0323	-101.22
13.642	371.00	1.0389	-101.73
13.766	372.00	1.0455	-102.24
13.891	373.00	1.0522	-102.75
14.016	374.00	1.0588	-103.25
14.142	375.00	1.0655	-103.76
14.269	376.00	1.0722	-104.27
14.397	377.00	1.0789	-104.78
14.526	378.00	1.0857	-105.29
14.655	379.00	1.0925	-105.80
14.785	380.00	1.0992	-106.31
14.916	381.00	1.1061	-106.82
15.048	382.00	1.1129	-107.32
15.181	383.00	1.1198	-107.83
15.314	384.00	1.1267	-108.34
15.448	385.00	1.1336	-108.85
15.583	386.00	1.1406	-109.36
15.720	387.00	1.1476	-109.87
15.856	388.00	1.1546	-110.38
15.994	389.00	1.1616	-110.89
16.133	390.00	1.1687	-111.40
16.272	391.00	1.1758	-111.90
16.412	392.00	1.1829	-112.41
16.553	393.00	1.1900	-112.92
16.695	394.00	1.1971	-113.43
16.838	395.00	1.2043	-113.94
16.982	396.00	1.2116	-114.45
17.126	397.00	1.2188	-114.96
17.271	398.00	1.2260	-115.47
17.418	399.00	1.2333	-115.98
17.565	400.00	1.2406	-116.49
17.713	401.00	1.2480	-117.00
17.862	402.00	1.2553	-117.51
18.011	403.00	1.2627	-118.01
18.162	404.00	1.2701	-118.52
18.313	405.00	1.2775	-119.03
18.466	406.00	1.2850	-119.54
18.619	407.00	1.2925	-120.05
18.773	408.00	1.3000	-120.56
18.928	409.00	1.3075	-121.00
19.084	410.00	1.3150	-121.58
19.241	411.00	1.3226	-122.09
19.399	412.00	1.3303	-122.60
19.558	413.00	1.3379	-123.11
19.717	414.00	1.3455	-123.61
19.878	415.00	1.3533	-124.12
20.040	416.00	1.3610	-124.64
20.202	417.00	1.3687	-125.14
20.365	418.00	1.3765	-125.65
20.530	419.00	1.3843	-126.16
20.695	420.00	1.3921	-126.67
20.861	421.00	1.3999	-127.18
21.028	422.00	1.4078	-127.69
21.196	423.00	1.4157	-128.20
21.365	424.00	1.4236	-128.71
21.535	425.00	1.4316	-129.22
21.706	426.00	1.4395	-129.73
21.877	427.00	1.4475	-130.24
22.050	428.00	1.4555	-130.74
